"objid","baumnummer","geometry"
"54464","SE-5426","POINT (2683623 1252181.4)"
"89531","OE-4690","POINT (2683309 1251827.6)"
"74456","SE-4418","POINT (2683453 1252051.5)"
"108110","SE-3824","POINT (2683417.8 1252225.9)"
"112019","OE-4699","POINT (2683375.2 1251859.4)"
"23768","OE-4551","POINT (2683550 1251942.1)"
"35846","SE-1092","POINT (2683504.8 1252409.4)"
"108098","SE-3818","POINT (2683420.2 1252270.5)"
"35849","SE-292","POINT (2683517.8 1252409.9)"
"63179","SE-2125","POINT (2683491.8 1252425.9)"
"237356","SE-5211","POINT (2683285.5 1252256.5)"
"136406","SE-2174","POINT (2683421.8 1252277.8)"
"29621","SE-4435","POINT (2683591.8 1252197.2)"
"151646","OE-5660","POINT (2683567.2 1252019.2)"
"136412","SE-3822","POINT (2683417 1252243.5)"
"29354","SE-4429","POINT (2683369.8 1252146.6)"
"48131","OE-4552","POINT (2683548 1251941.1)"
"25292","OE-4688","POINT (2683296 1251845.9)"
"236819","SE-5209","POINT (2683285 1252264.4)"
"114398","OE-4696","POINT (2683362.2 1251849.4)"
"55838","SE-5327","POINT (2683406.2 1252375)"
"112025","OE-4702","POINT (2683388.8 1251867.4)"
"17834","SE-2210","POINT (2683552.8 1252046.8)"
"108104","SE-2177","POINT (2683422.5 1252260.5)"
"29360","SE-4431","POINT (2683350 1252156.9)"
"108107","SE-3823","POINT (2683418.8 1252228.6)"
"55841","SE-5421","POINT (2683593.5 1252266.5)"
"29243","OE-159","POINT (2683280 1252042.8)"
"29615","SE-4433","POINT (2683589.2 1252213.5)"
"203837","OE-5642","POINT (2683576.2 1251982.1)"
"236225","SE-5224","POINT (2683273.8 1252235.1)"
"141194","SE-2182","POINT (2683549.2 1252457.1)"
"23771","OE-4553","POINT (2683539 1251942.1)"
"52769","SE-4419","POINT (2683461.2 1252050.9)"
"29249","OE-161","POINT (2683296.2 1252042.4)"
"46136","SE-2310","POINT (2683536 1252384.8)"
"54449","SE-5419","POINT (2683580 1252308.8)"
"89534","OE-4701","POINT (2683383.8 1251862.5)"
"114392","OE-4694","POINT (2683339 1251836.5)"
